id,label,"type(1=animated, 2=live-action)","release(1=cinematic, 2=tv, 3=video)","place(1=hollywood, 2=japan, 3=internationaal)",franchise,year,"age_rating(child=1, teen=2, adult=3)",cc_mc,ac_mc,cc_rt,ac_rt
125,Pokemon: The Legend of Thunder,1,2,2,Pokemon,2001,1,NA,NA,NA,NA
126,House of the Dead 2,2,2,2,House of the Dead,2006,3,NA,NA,NA,22
127,Pokemon: The Mastermind of Mirage Pokemon,1,2,2,Pokemon,2006,1,NA,NA,NA,75
128,Red Faction: Origins,2,2,2,Red Faction,2011,2,NA,NA,NA,24
129,Higurashi no Naku Koro ni Kaku: Outbreak,1,2,2,Higurashi,2013,3,NA,NA,NA,NA
130,Tengai Makyo Jiraia Oboro Hen,1,3,3,Tengai Makyo,1990,1,NA,NA,NA,NA
131,Ninja Gaiden,1,3,3,Ninja Gaiden,1991,3,NA,NA,NA,NA
132,Mortal Kombat: The Journey Begins,1,3,3,Mortal Kombat,1995,2,NA,NA,NA,NA
133,Battle Arena Toshinden,1,3,3,Battle Arena Toshinden,1996,2,NA,NA,NA,25
134,Sonic the Hedgehog,1,3,3,Sonic,1996,1,NA,NA,NA,77
135,Voltage Fighters: Gowcaizer the Movie,1,3,3,Voltage Fighters,1997,3,NA,NA,NA,53
136,Tekken: The Motion Picture,1,3,3,Tekken,1998,3,NA,NA,NA,41
137,Samurai Spirits 2: Asura Zanmaden,1,3,3,Samurai Shodown,1999,2,NA,NA,NA,NA
138,Street Fighter Alpha: the Movie,1,3,3,Street Fighter,2000,2,NA,NA,NA,48
139,Sin: The Movie,1,3,3,Sin,2000,2,NA,NA,NA,21
140,Zone of the Enders: 2167 Idolo,1,3,3,Zone of the Enders,2001,3,NA,NA,NA,NA
141,Nakoroku Ano hito kara no okurimono,1,3,3,Samurai Shodown,2002,2,NA,NA,NA,NA
142,Welcome to Pia Carrot - Sayaka's Love Story,1,3,3,Pia Carrot,2002,1,NA,NA,NA,NA
143,Galerians: Rion,1,3,3,Galerians,2004,2,NA,NA,NA,NA
144,Final Fantasy VII: Advent Children,1,3,3,Final Fantasy,2005,1,NA,NA,33,84
145,Last Order: Final Fantasy VII,1,3,3,Final Fantasy,2005,1,NA,NA,NA,84
146,Street Fighter Alpha: Generations,1,3,3,Street Fighter,2005,2,NA,NA,NA,NA
147,Dead Space: Downfall,1,3,3,Dead Space,2008,3,NA,NA,NA,42
148,Street Fighter IV: The Ties That Bind,1,3,3,Street Fighter,2009,2,NA,NA,NA,NA
149,Dante's Inferno: An Animated Epic,1,3,3,Dante's Inferno,2010,3,NA,NA,NA,NA
150,Halo Legends,1,3,3,Halo,2010,3,NA,NA,NA,71
151,Dead Space: Aftermath,1,3,3,Dead Space,2011,3,NA,NA,NA,28
152,Mass Effect: Paragon Lost,1,3,3,Mass Effect,2012,3,NA,NA,NA,56
153,Batman: Assault on Arkham,1,3,3,Batman,2014,2,NA,NA,75,85
154,Heavenly Sword,1,3,3,Heavenly Sword,2014,2,NA,NA,NA,28
155,Tokimeki Memorial,2,3,3,Tokimeki,1994,2,NA,NA,NA,NA
156,BloodRayne 2: Deliverance,2,3,3,BloodRayne,2007,3,NA,NA,NA,14
157,Alone in the Dark II,2,3,3,Alone in the Dark,2008,3,NA,NA,NA,11
158,The King of Fighters,2,3,3,The King of Fighters,2009,3,NA,NA,NA,11
159,BloodRayne: The Third Reich,2,3,3,BloodRayne,2010,3,NA,NA,NA,12
160,In the Name of the King 2: Two Worlds,1,3,3,In the Name of the King,2011,2,NA,NA,NA,17
161,Halo 4: Forward Unto Dawn,1,3,3,Halo,2012,3,NA,NA,NA,67
162,Company of Heroes,1,3,3,Company of Heroes,2013,3,NA,NA,NA,36
163,Zombie Massacre,1,3,3,Zombie Massacre,2013,3,NA,NA,NA,6
164,In the Name of the King 3: The Last Mission,1,3,3,In the Name of the King,2014,2,NA,NA,NA,10
165,Street Fighter: Assassin's Fist,1,3,3,Street Fighter,2014,2,NA,NA,NA,NA
166,Tekken 2: Kazuya's Revenge,1,3,3,Tekken,2014,3,NA,NA,NA,8
167,Halo: Nightfall,1,3,3,Halo,2015,3,NA,NA,NA,34
168,Dead Rising: Watchtower,1,3,3,Dead Rising,2015,3,NA,NA,NA,30
169,Dead Rising: Endgame,1,3,3,Dead Rising,2016,3,NA,NA,NA,26
170,It Came from the Desert,1,3,3,It Came from the Desert,2018,3,NA,NA,60,25
171,Doom: Annihilation,1,3,3,Doom,2019,3,NA,NA,50,15
